Track 2: Piano left
MetaMessage('track_name', name='Piano left', time=0)
note_on channel=0 note=45 velocity=0 time=72
note_on channel=0 note=45 velocity=35 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=38 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=34 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=38 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=35 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=44 time=30
note_on channel=0 note=45 velocity=0 time=90
note_on channel=0 note=45 velocity=38 time=30
note_on channel=0 note=45 velocity=0 time=90
