Track 1: Piano right
MetaMessage('track_name', name='Piano right', time=0)
note_on channel=0 note=82 velocity=62 time=0
note_on channel=0 note=82 velocity=0 time=180
note_on channel=0 note=81 velocity=56 time=0
note_on channel=0 note=81 velocity=0 time=58
note_on channel=0 note=81 velocity=56 time=2
note_on channel=0 note=81 velocity=0 time=120
note_on channel=0 note=79 velocity=56 time=0
note_on channel=0 note=79 velocity=0 time=120
note_on channel=0 note=77 velocity=55 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=76 velocity=55 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=74 velocity=55 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=72 velocity=54 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=70 velocity=54 time=0
note_on channel=0 note=70 velocity=0 time=240
note_on channel=0 note=69 velocity=51 time=0
note_on channel=0 note=69 velocity=0 time=210
note_on channel=0 note=70 velocity=44 time=0
note_on channel=0 note=70 velocity=0 time=30
note_on channel=0 note=69 velocity=49 time=0
note_on channel=0 note=69 velocity=0 time=60
note_on channel=0 note=67 velocity=50 time=0
note_on channel=0 note=67 velocity=0 time=60
note_on channel=0 note=69 velocity=51 time=0
note_on channel=0 note=69 velocity=0 time=60
note_on channel=0 note=70 velocity=52 time=0
note_on channel=0 note=70 velocity=0 time=60
note_on channel=0 note=72 velocity=54 time=0
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=74 velocity=55 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=75 velocity=57 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=59 time=0
note_on channel=0 note=76 velocity=0 time=360
note_on channel=0 note=76 velocity=58 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=77 velocity=63 time=0
note_on channel=0 note=77 velocity=0 time=120
note_on channel=0 note=69 velocity=58 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=72 velocity=64 time=0
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=74 velocity=64 time=0
note_on channel=0 note=74 velocity=0 time=180
note_on channel=0 note=71 velocity=57 time=0
note_on channel=0 note=71 velocity=0 time=60
note_on channel=0 note=72 velocity=64 time=0
note_on channel=0 note=72 velocity=0 time=60
note_on channel=0 note=79 velocity=57 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=67 velocity=64 time=0
note_on channel=0 note=67 velocity=0 time=60
note_on channel=0 note=79 velocity=57 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=69 velocity=64 time=0
note_on channel=0 note=69 velocity=0 time=60
note_on channel=0 note=79 velocity=63 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=71 velocity=66 time=0
note_on channel=0 note=71 velocity=0 time=60
note_on channel=0 note=79 velocity=63 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=72 velocity=68 time=0
note_on channel=0 note=72 velocity=0 time=60
note_on channel=0 note=79 velocity=66 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=74 velocity=70 time=0
note_on channel=0 note=74 velocity=0 time=60
note_on channel=0 note=79 velocity=65 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=76 velocity=72 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=79 velocity=63 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=84 velocity=67 time=0
note_on channel=0 note=84 velocity=0 time=60
note_on channel=0 note=83 velocity=62 time=0
note_on channel=0 note=83 velocity=0 time=60
note_on channel=0 note=81 velocity=67 time=0
note_on channel=0 note=81 velocity=0 time=60
note_on channel=0 note=79 velocity=62 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=77 velocity=67 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=76 velocity=61 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=74 velocity=69 time=0
note_on channel=0 note=74 velocity=0 time=60
note_on channel=0 note=79 velocity=63 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=77 velocity=69 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=74 velocity=64 time=0
note_on channel=0 note=74 velocity=0 time=60
note_on channel=0 note=72 velocity=64 time=0
note_on channel=0 note=72 velocity=0 time=60
note_on channel=0 note=79 velocity=57 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=67 velocity=64 time=0
note_on channel=0 note=67 velocity=0 time=60
note_on channel=0 note=79 velocity=57 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=69 velocity=64 time=0
note_on channel=0 note=69 velocity=0 time=60
note_on channel=0 note=79 velocity=63 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=71 velocity=66 time=0
note_on channel=0 note=71 velocity=0 time=60
note_on channel=0 note=79 velocity=63 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=72 velocity=68 time=0
note_on channel=0 note=72 velocity=0 time=60
note_on channel=0 note=79 velocity=66 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=74 velocity=70 time=0
note_on channel=0 note=74 velocity=0 time=60
note_on channel=0 note=79 velocity=65 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=76 velocity=72 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=79 velocity=65 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=84 velocity=69 time=0
note_on channel=0 note=84 velocity=0 time=60
note_on channel=0 note=83 velocity=64 time=0
note_on channel=0 note=83 velocity=0 time=60
note_on channel=0 note=81 velocity=70 time=0
note_on channel=0 note=81 velocity=0 time=60
note_on channel=0 note=79 velocity=60 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=77 velocity=64 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=76 velocity=55 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=74 velocity=65 time=0
note_on channel=0 note=74 velocity=0 time=60
note_on channel=0 note=79 velocity=57 time=0
note_on channel=0 note=79 velocity=0 time=60
note_on channel=0 note=77 velocity=63 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=74 velocity=53 time=0
note_on channel=0 note=74 velocity=0 time=60
note_on channel=0 note=76 velocity=57 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=77 velocity=50 time=0
note_on channel=0 note=77 velocity=0 time=60
note_on channel=0 note=76 velocity=50 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=75 velocity=50 time=0
note_on channel=0 note=75 velocity=0 time=60
note_on channel=0 note=76 velocity=57 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=71 velocity=49 time=0
note_on channel=0 note=71 velocity=0 time=60
note_on channel=0 note=76 velocity=54 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=75 velocity=52 time=0
note_on channel=0 note=75 velocity=0 time=60
note_on channel=0 note=76 velocity=57 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=71 velocity=51 time=0
note_on channel=0 note=71 velocity=0 time=60
note_on channel=0 note=76 velocity=54 time=0
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=75 velocity=49 time=0
note_on channel=0 note=75 velocity=0 time=60
note_on channel=0 note=76 velocity=57 time=0
note_on channel=0 note=76 velocity=0 time=360
note_on channel=0 note=71 velocity=52 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=76 velocity=57 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=49 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=56 time=0
note_on channel=0 note=76 velocity=0 time=360
note_on channel=0 note=71 velocity=42 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=76 velocity=50 time=0
note_on channel=0 note=76 velocity=0 time=90
note_on channel=0 note=75 velocity=39 time=270
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=41 time=0
note_on channel=0 note=76 velocity=0 time=90
note_on channel=0 note=75 velocity=34 time=270
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=40 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=36 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=40 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=71 velocity=36 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=74 velocity=43 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=72 velocity=35 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=69 velocity=45 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=60 velocity=34 time=120
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=64 velocity=38 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=69 velocity=42 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=71 velocity=46 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=64 velocity=36 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=68 velocity=39 time=0
note_on channel=0 note=68 velocity=0 time=120
note_on channel=0 note=71 velocity=42 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=72 velocity=45 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=64 velocity=35 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=76 velocity=38 time=0
