Track 2: Piano left
MetaMessage('track_name', name='Piano left', time=0)
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=47 velocity=40 time=1440
note_on channel=0 note=47 velocity=0 time=240
note_on channel=0 note=55 velocity=35 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=50 velocity=35 time=0
note_on channel=0 note=50 velocity=0 time=240
note_on channel=0 note=55 velocity=35 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=47 velocity=40 time=0
note_on channel=0 note=47 velocity=0 time=240
note_on channel=0 note=55 velocity=37 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=50 velocity=37 time=0
note_on channel=0 note=50 velocity=0 time=240
note_on channel=0 note=55 velocity=37 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=48 velocity=40 time=0
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=50 velocity=40 time=1440
note_on channel=0 note=50 velocity=0 time=240
note_on channel=0 note=55 velocity=35 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=53 velocity=35 time=0
note_on channel=0 note=53 velocity=0 time=240
note_on channel=0 note=55 velocity=35 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=50 velocity=40 time=0
note_on channel=0 note=50 velocity=0 time=240
note_on channel=0 note=55 velocity=37 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=53 velocity=37 time=0
note_on channel=0 note=53 velocity=0 time=240
note_on channel=0 note=55 velocity=37 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=52 velocity=40 time=0
note_on channel=0 note=52 velocity=0 time=480
note_on channel=0 note=53 velocity=40 time=1440
note_on channel=0 note=53 velocity=0 time=480
note_on channel=0 note=53 velocity=37 time=480
note_on channel=0 note=53 velocity=0 time=480
note_on channel=0 note=55 velocity=40 time=480
note_on channel=0 note=55 velocity=0 time=480
note_on channel=0 note=43 velocity=39 time=480
note_on channel=0 note=43 velocity=0 time=480
note_on channel=0 note=36 velocity=48 time=480
note_on channel=0 note=36 velocity=0 time=240
note_on channel=0 note=40 velocity=38 time=0
note_on channel=0 note=40 velocity=0 time=240
note_on channel=0 note=43 velocity=40 time=0
note_on channel=0 note=43 velocity=0 time=240
note_on channel=0 note=48 velocity=38 time=0
note_on channel=0 note=48 velocity=0 time=240
note_on channel=0 note=36 velocity=48 time=0
note_on channel=0 note=36 velocity=0 time=480
note_on channel=0 note=65 velocity=23 time=480
note_on channel=0 note=65 velocity=0 time=1920
note_on channel=0 note=63 velocity=23 time=0
note_on channel=0 note=63 velocity=0 time=1920
note_on channel=0 note=59 velocity=23 time=0
note_on channel=0 note=59 velocity=0 time=960
note_on channel=0 note=60 velocity=22 time=0
