Track 1: Piano right
MetaMessage('track_name', name='Piano right', time=0)
note_on channel=0 note=64 velocity=0 time=240
note_on channel=0 note=60 velocity=27 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=55 velocity=26 time=0
note_on channel=0 note=55 velocity=0 time=180
note_on channel=0 note=55 velocity=24 time=300
note_on channel=0 note=55 velocity=0 time=180
note_on channel=0 note=60 velocity=37 time=300
note_on channel=0 note=60 velocity=0 time=480
note_on channel=0 note=64 velocity=29 time=0
note_on channel=0 note=64 velocity=0 time=240
note_on channel=0 note=60 velocity=26 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=55 velocity=24 time=0
note_on channel=0 note=55 velocity=0 time=180
note_on channel=0 note=67 velocity=30 time=300
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=65 velocity=34 time=240
note_on channel=0 note=64 velocity=24 time=240
note_on channel=0 note=65 velocity=0 time=24
note_on channel=0 note=62 velocity=28 time=216
note_on channel=0 note=64 velocity=0 time=24
note_on channel=0 note=60 velocity=23 time=216
note_on channel=0 note=62 velocity=0 time=24
note_on channel=0 note=59 velocity=31 time=216
note_on channel=0 note=60 velocity=0 time=24
note_on channel=0 note=60 velocity=28 time=216
note_on channel=0 note=59 velocity=0 time=24
note_on channel=0 note=59 velocity=32 time=216
note_on channel=0 note=60 velocity=0 time=24
note_on channel=0 note=60 velocity=28 time=216
note_on channel=0 note=59 velocity=0 time=24
note_on channel=0 note=62 velocity=35 time=216
note_on channel=0 note=60 velocity=0 time=24
note_on channel=0 note=60 velocity=30 time=216
note_on channel=0 note=62 velocity=0 time=24
note_on channel=0 note=59 velocity=29 time=216
note_on channel=0 note=60 velocity=0 time=24
note_on channel=0 note=57 velocity=28 time=216
note_on channel=0 note=59 velocity=0 time=24
note_on channel=0 note=55 velocity=37 time=216
note_on channel=0 note=57 velocity=0 time=24
note_on channel=0 note=55 velocity=0 time=456
note_on channel=0 note=60 velocity=44 time=480
note_on channel=0 note=60 velocity=0 time=480
note_on channel=0 note=55 velocity=36 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=60 velocity=32 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=64 velocity=37 time=0
note_on channel=0 note=64 velocity=0 time=180
note_on channel=0 note=64 velocity=31 time=300
note_on channel=0 note=64 velocity=0 time=180
note_on channel=0 note=64 velocity=48 time=300
note_on channel=0 note=64 velocity=0 time=480
note_on channel=0 note=60 velocity=41 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=64 velocity=37 time=0
note_on channel=0 note=64 velocity=0 time=240
note_on channel=0 note=67 velocity=44 time=0
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=72 velocity=38 time=300
note_on channel=0 note=72 velocity=0 time=180
note_on channel=0 note=64 velocity=44 time=300
note_on channel=0 note=67 velocity=52 time=0
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=65 velocity=46 time=300
note_on channel=0 note=62 velocity=39 time=0
note_on channel=0 note=62 velocity=0 time=180
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=60 velocity=50 time=300
note_on channel=0 note=64 velocity=59 time=0
note_on channel=0 note=64 velocity=0 time=180
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=62 velocity=53 time=300
note_on channel=0 note=59 velocity=44 time=0
note_on channel=0 note=59 velocity=0 time=180
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=60 velocity=68 time=300
note_on channel=0 note=62 velocity=54 time=240
note_on channel=0 note=60 velocity=0 time=24
note_on channel=0 note=64 velocity=60 time=216
note_on channel=0 note=62 velocity=0 time=24
note_on channel=0 note=65 velocity=58 time=216
note_on channel=0 note=64 velocity=0 time=24
note_on channel=0 note=67 velocity=68 time=216
note_on channel=0 note=65 velocity=0 time=24
note_on channel=0 note=69 velocity=58 time=216
note_on channel=0 note=67 velocity=0 time=24
note_on channel=0 note=71 velocity=62 time=216
note_on channel=0 note=69 velocity=0 time=24
note_on channel=0 note=72 velocity=58 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=72 velocity=0 time=216
note_on channel=0 note=62 velocity=66 time=0
note_on channel=0 note=62 velocity=0 time=480
note_on channel=0 note=74 velocity=54 time=0
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=74 velocity=57 time=240
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=74 velocity=53 time=240
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=64 velocity=68 time=240
note_on channel=0 note=65 velocity=55 time=240
note_on channel=0 note=64 velocity=0 time=24
note_on channel=0 note=67 velocity=60 time=216
note_on channel=0 note=65 velocity=0 time=24
note_on channel=0 note=69 velocity=56 time=216
note_on channel=0 note=67 velocity=0 time=24
note_on channel=0 note=71 velocity=68 time=216
note_on channel=0 note=69 velocity=0 time=24
note_on channel=0 note=72 velocity=59 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=74 velocity=62 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=76 velocity=58 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=76 velocity=0 time=216
note_on channel=0 note=65 velocity=66 time=0
note_on channel=0 note=65 velocity=0 time=480
note_on channel=0 note=77 velocity=53 time=0
note_on channel=0 note=77 velocity=0 time=240
note_on channel=0 note=77 velocity=57 time=240
note_on channel=0 note=77 velocity=0 time=240
note_on channel=0 note=77 velocity=55 time=240
note_on channel=0 note=77 velocity=0 time=240
note_on channel=0 note=67 velocity=68 time=240
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=72 velocity=59 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=76 velocity=63 time=0
note_on channel=0 note=76 velocity=0 time=240
note_on channel=0 note=79 velocity=61 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=77 velocity=68 time=0
note_on channel=0 note=76 velocity=58 time=240
note_on channel=0 note=77 velocity=0 time=24
note_on channel=0 note=74 velocity=62 time=216
note_on channel=0 note=76 velocity=0 time=24
note_on channel=0 note=72 velocity=59 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=72 velocity=0 time=216
note_on channel=0 note=81 velocity=68 time=0
note_on channel=0 note=79 velocity=61 time=240
note_on channel=0 note=81 velocity=0 time=24
note_on channel=0 note=77 velocity=65 time=216
note_on channel=0 note=79 velocity=0 time=24
note_on channel=0 note=76 velocity=57 time=216
note_on channel=0 note=77 velocity=0 time=24
note_on channel=0 note=74 velocity=68 time=216
note_on channel=0 note=76 velocity=0 time=24
note_on channel=0 note=72 velocity=61 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=71 velocity=64 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=69 velocity=59 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=69 velocity=0 time=216
note_on channel=0 note=67 velocity=65 time=0
note_on channel=0 note=69 velocity=54 time=240
note_on channel=0 note=67 velocity=0 time=24
note_on channel=0 note=65 velocity=60 time=216
note_on channel=0 note=69 velocity=0 time=24
note_on channel=0 note=67 velocity=56 time=216
note_on channel=0 note=65 velocity=0 time=24
note_on channel=0 note=64 velocity=66 time=216
note_on channel=0 note=67 velocity=0 time=24
note_on channel=0 note=65 velocity=59 time=216
